****************************************************
****************************************************
 mstm calculation results
 date, time:
20220919 082317.457 
 input file:
linear_chain_20.inp
****************************************************
 input variables for run     1
 sphere data input file:
linear_chain_20_config.pos
 number spheres
   20
 length, ref index scale factors
  1.2670000E+00  1.0400000E+00  1.8330000E+00
 volume cluster radius, area mean sphere radius, circumscribing radius, cross section radius
  3.4391627E+00  1.2670000E+00  2.3323191E+01  3.4391627E+00
 random orientation, estimated t matrix order:
    32
 layer 0 refractive index
  1.0000E+00  0.0000E+00
 number of plane boundaries 
  0
 max_iterations,solution_epsilon, mie_epsilon
     10000  1.0000E-06  1.0000E-06
 maximum Mie order, number of equations:
   5      1400
 mean sphere Mie extinction, absorption efficiencies
  3.4770E+00  1.6863E+00
****************************************************
 calculation results for run 
           1
 number iterations, error, solution time 
     0  0.0000E+00  1.3246E+03
 t matrix order:
    31
 total extinction, absorption, scattering efficiencies (unpolarized incidence)
  6.6930E+00  3.2790E+00  3.4140E+00
 total scattering
 number directions, number SM elements:
   181     6
   theta     11          12          22          33          34          44     
   64.00  1.2788E-01 -6.6816E-01  8.4386E-01  4.3633E-01  3.2186E-01  4.3057E-01
   65.00  1.2313E-01 -6.7462E-01  8.3720E-01  4.0470E-01  3.3340E-01  3.9866E-01
   66.00  1.1869E-01 -6.8019E-01  8.3078E-01  3.7232E-01  3.4430E-01  3.6634E-01
   67.00  1.1454E-01 -6.8478E-01  8.2454E-01  3.3931E-01  3.5444E-01  3.3368E-01
   68.00  1.1065E-01 -6.8829E-01  8.1846E-01  3.0582E-01  3.6375E-01  3.0080E-01
   69.00  1.0703E-01 -6.9065E-01  8.1255E-01  2.7207E-01  3.7224E-01  2.6786E-01
   70.00  1.0370E-01 -6.9182E-01  8.0687E-01  2.3824E-01  3.7997E-01  2.3502E-01
   71.00  1.0066E-01 -6.9180E-01  8.0144E-01  2.0447E-01  3.8706E-01  2.0236E-01
   72.00  9.7906E-02 -6.9061E-01  7.9623E-01  1.7082E-01  3.9361E-01  1.6986E-01
   73.00  9.5408E-02 -6.8828E-01  7.9116E-01  1.3730E-01  3.9964E-01  1.3740E-01
   74.00  9.3133E-02 -6.8480E-01  7.8605E-01  1.0392E-01  4.0507E-01  1.0483E-01
   75.00  9.1046E-02 -6.8013E-01  7.8071E-01  7.0762E-02  4.0972E-01  7.2038E-02
   76.00  8.9121E-02 -6.7423E-01  7.7493E-01  3.7967E-02  4.1339E-01  3.9014E-02
   77.00  8.7344E-02 -6.6706E-01  7.6855E-01  5.7858E-03  4.1584E-01  5.8782E-03
   78.00  8.5718E-02 -6.5863E-01  7.6153E-01 -2.5481E-02  4.1693E-01 -2.7112E-02
   79.00  8.4251E-02 -6.4903E-01  7.5393E-01 -5.5536E-02  4.1660E-01 -5.9599E-02
   80.00  8.2956E-02 -6.3841E-01  7.4593E-01 -8.4157E-02  4.1488E-01 -9.1190E-02
   81.00  8.1837E-02 -6.2699E-01  7.3781E-01 -1.1125E-01  4.1194E-01 -1.2153E-01
   82.00  8.0888E-02 -6.1501E-01  7.2987E-01 -1.3686E-01  4.0798E-01 -1.5034E-01
   83.00  8.0091E-02 -6.0274E-01  7.2241E-01 -1.6117E-01  4.0323E-01 -1.7749E-01
   84.00  7.9421E-02 -5.9037E-01  7.1568E-01 -1.8446E-01  3.9788E-01 -2.0297E-01
   85.00  7.8850E-02 -5.7806E-01  7.0984E-01 -2.0699E-01  3.9213E-01 -2.2686E-01
   86.00  7.8352E-02 -5.6590E-01  7.0494E-01 -2.2901E-01  3.8609E-01 -2.4931E-01
   87.00  7.7912E-02 -5.5390E-01  7.0097E-01 -2.5067E-01  3.7987E-01 -2.7051E-01
   88.00  7.7524E-02 -5.4204E-01  6.9785E-01 -2.7204E-01  3.7357E-01 -2.9064E-01
   89.00  7.7196E-02 -5.3028E-01  6.9544E-01 -2.9309E-01  3.6726E-01 -3.0985E-01
   90.00  7.6938E-02 -5.1853E-01  6.9360E-01 -3.1374E-01  3.6101E-01 -3.2826E-01
   91.00  7.6764E-02 -5.0675E-01  6.9219E-01 -3.3386E-01  3.5489E-01 -3.4598E-01
   92.00  7.6684E-02 -4.9490E-01  6.9108E-01 -3.5336E-01  3.4894E-01 -3.6304E-01
   93.00  7.6702E-02 -4.8294E-01  6.9018E-01 -3.7215E-01  3.4317E-01 -3.7949E-01
   94.00  7.6812E-02 -4.7090E-01  6.8943E-01 -3.9020E-01  3.3756E-01 -3.9531E-01
   95.00  7.7001E-02 -4.5881E-01  6.8885E-01 -4.0755E-01  3.3206E-01 -4.1049E-01
   96.00  7.7249E-02 -4.4670E-01  6.8845E-01 -4.2425E-01  3.2662E-01 -4.2499E-01
   97.00  7.7535E-02 -4.3465E-01  6.8832E-01 -4.4041E-01  3.2118E-01 -4.3877E-01
   98.00  7.7838E-02 -4.2271E-01  6.8854E-01 -4.5614E-01  3.1569E-01 -4.5179E-01
   99.00  7.8145E-02 -4.1093E-01  6.8920E-01 -4.7157E-01  3.1013E-01 -4.6404E-01
  100.00  7.8444E-02 -3.9934E-01  6.9040E-01 -4.8680E-01  3.0449E-01 -4.7551E-01
