****************************************************
****************************************************
 mstm calculation results
 date, time:
20221117 112918.123 
 input file:
linear_chain_10_rand.inp
****************************************************
 input variables for run     1
 sphere data input file:
linear_chain_10_z_config.pos
 number spheres
   10
 length, ref index scale factors
  1.2670000E+00  1.0400000E+00  1.8330000E+00
 volume cluster radius, area mean sphere radius, circumscribing radius, cross section radius
  2.7296659E+00  1.2670000E+00  1.2157411E+01  2.7296659E+00
 random orientation, estimated t matrix order:
    20
 layer 0 refractive index
  1.0000E+00  0.0000E+00
 number of plane boundaries 
  0
 max_iterations,solution_epsilon, mie_epsilon
     10000  1.0000E-06  1.0000E-06
 maximum Mie order, number of equations:
   5       700
 mean sphere Mie extinction, absorption efficiencies
  3.4770E+00  1.6863E+00
****************************************************
 calculation results for run 
           1
 number iterations, error, solution time 
     0  0.0000E+00  6.1131E+00
 t matrix order:
    18
 total extinction, absorption, scattering efficiencies (unpolarized incidence)
  5.6342E+00  2.7355E+00  2.8988E+00
 total scattering
 number directions, number SM elements:
   181     6
   theta     11          12          22          33          34          44     
  113.00  9.3761E-02 -3.1670E-01  7.8248E-01 -6.7228E-01  2.6555E-01 -6.2926E-01
  114.00  9.4375E-02 -3.0471E-01  7.8560E-01 -6.8411E-01  2.5988E-01 -6.3665E-01
  115.00  9.4978E-02 -2.9283E-01  7.8858E-01 -6.9529E-01  2.5405E-01 -6.4362E-01
  116.00  9.5572E-02 -2.8110E-01  7.9143E-01 -7.0582E-01  2.4808E-01 -6.5017E-01
  117.00  9.6158E-02 -2.6954E-01  7.9415E-01 -7.1573E-01  2.4201E-01 -6.5631E-01
  118.00  9.6737E-02 -2.5818E-01  7.9674E-01 -7.2503E-01  2.3585E-01 -6.6205E-01
  119.00  9.7309E-02 -2.4704E-01  7.9922E-01 -7.3374E-01  2.2962E-01 -6.6742E-01
  120.00  9.7874E-02 -2.3614E-01  8.0158E-01 -7.4190E-01  2.2334E-01 -6.7241E-01
  121.00  9.8432E-02 -2.2549E-01  8.0385E-01 -7.4952E-01  2.1703E-01 -6.7706E-01
  122.00  9.8982E-02 -2.1510E-01  8.0603E-01 -7.5664E-01  2.1070E-01 -6.8137E-01
  123.00  9.9524E-02 -2.0500E-01  8.0811E-01 -7.6328E-01  2.0437E-01 -6.8537E-01
  124.00  1.0006E-01 -1.9517E-01  8.1011E-01 -7.6947E-01  1.9804E-01 -6.8907E-01
  125.00  1.0058E-01 -1.8564E-01  8.1204E-01 -7.7524E-01  1.9172E-01 -6.9249E-01
  126.00  1.0109E-01 -1.7641E-01  8.1389E-01 -7.8061E-01  1.8543E-01 -6.9564E-01
  127.00  1.0158E-01 -1.6747E-01  8.1568E-01 -7.8562E-01  1.7916E-01 -6.9854E-01
  128.00  1.0206E-01 -1.5885E-01  8.1740E-01 -7.9027E-01  1.7293E-01 -7.0121E-01
  129.00  1.0253E-01 -1.5052E-01  8.1906E-01 -7.9461E-01  1.6673E-01 -7.0367E-01
  130.00  1.0298E-01 -1.4251E-01  8.2067E-01 -7.9864E-01  1.6058E-01 -7.0591E-01
  131.00  1.0341E-01 -1.3480E-01  8.2222E-01 -8.0240E-01  1.5449E-01 -7.0797E-01
  132.00  1.0383E-01 -1.2740E-01  8.2372E-01 -8.0590E-01  1.4845E-01 -7.0985E-01
  133.00  1.0422E-01 -1.2030E-01  8.2518E-01 -8.0916E-01  1.4247E-01 -7.1157E-01
  134.00  1.0460E-01 -1.1350E-01  8.2659E-01 -8.1221E-01  1.3656E-01 -7.1314E-01
  135.00  1.0497E-01 -1.0701E-01  8.2796E-01 -8.1505E-01  1.3072E-01 -7.1457E-01
  136.00  1.0531E-01 -1.0080E-01  8.2929E-01 -8.1771E-01  1.2496E-01 -7.1587E-01
  137.00  1.0565E-01 -9.4887E-02  8.3059E-01 -8.2020E-01  1.1929E-01 -7.1706E-01
  138.00  1.0596E-01 -8.9251E-02  8.3185E-01 -8.2254E-01  1.1371E-01 -7.1815E-01
  139.00  1.0627E-01 -8.3887E-02  8.3308E-01 -8.2474E-01  1.0822E-01 -7.1914E-01
  140.00  1.0656E-01 -7.8789E-02  8.3429E-01 -8.2682E-01  1.0284E-01 -7.2004E-01
  141.00  1.0684E-01 -7.3946E-02  8.3547E-01 -8.2878E-01  9.7559E-02 -7.2086E-01
  142.00  1.0711E-01 -6.9348E-02  8.3662E-01 -8.3063E-01  9.2394E-02 -7.2161E-01
  143.00  1.0737E-01 -6.4986E-02  8.3776E-01 -8.3240E-01  8.7345E-02 -7.2229E-01
  144.00  1.0763E-01 -6.0848E-02  8.3887E-01 -8.3408E-01  8.2418E-02 -7.2292E-01
  145.00  1.0788E-01 -5.6925E-02  8.3996E-01 -8.3568E-01  7.7618E-02 -7.2349E-01
  146.00  1.0812E-01 -5.3205E-02  8.4104E-01 -8.3721E-01  7.2948E-02 -7.2400E-01
  147.00  1.0836E-01 -4.9678E-02  8.4209E-01 -8.3868E-01  6.8412E-02 -7.2448E-01
  148.00  1.0860E-01 -4.6333E-02  8.4313E-01 -8.4009E-01  6.4016E-02 -7.2490E-01
  149.00  1.0884E-01 -4.3159E-02  8.4415E-01 -8.4144E-01  5.9760E-02 -7.2529E-01
  150.00  1.0907E-01 -4.0148E-02  8.4514E-01 -8.4275E-01  5.5650E-02 -7.2563E-01
  151.00  1.0931E-01 -3.7289E-02  8.4612E-01 -8.4400E-01  5.1686E-02 -7.2594E-01
  152.00  1.0954E-01 -3.4575E-02  8.4708E-01 -8.4521E-01  4.7873E-02 -7.2621E-01
  153.00  1.0978E-01 -3.1996E-02  8.4802E-01 -8.4637E-01  4.4211E-02 -7.2645E-01
  154.00  1.1002E-01 -2.9545E-02  8.4894E-01 -8.4749E-01  4.0701E-02 -7.2665E-01
  155.00  1.1025E-01 -2.7216E-02  8.4984E-01 -8.4857E-01  3.7346E-02 -7.2682E-01
  156.00  1.1049E-01 -2.5003E-02  8.5071E-01 -8.4960E-01  3.4146E-02 -7.2696E-01
  157.00  1.1072E-01 -2.2900E-02  8.5156E-01 -8.5060E-01  3.1100E-02 -7.2708E-01
  158.00  1.1096E-01 -2.0903E-02  8.5238E-01 -8.5156E-01  2.8210E-02 -7.2716E-01
  159.00  1.1120E-01 -1.9008E-02  8.5318E-01 -8.5248E-01  2.5474E-02 -7.2722E-01
  160.00  1.1143E-01 -1.7211E-02  8.5396E-01 -8.5336E-01  2.2893E-02 -7.2724E-01
  161.00  1.1166E-01 -1.5511E-02  8.5471E-01 -8.5420E-01  2.0464E-02 -7.2725E-01
  162.00  1.1189E-01 -1.3904E-02  8.5543E-01 -8.5501E-01  1.8187E-02 -7.2723E-01
  163.00  1.1211E-01 -1.2389E-02  8.5613E-01 -8.5578E-01  1.6060E-02 -7.2719E-01
  164.00  1.1233E-01 -1.0964E-02  8.5680E-01 -8.5652E-01  1.4081E-02 -7.2712E-01
  165.00  1.1255E-01 -9.6288E-03  8.5744E-01 -8.5722E-01  1.2248E-02 -7.2704E-01
  166.00  1.1276E-01 -8.3820E-03  8.5805E-01 -8.5788E-01  1.0558E-02 -7.2694E-01
  167.00  1.1296E-01 -7.2229E-03  8.5864E-01 -8.5851E-01  9.0089E-03 -7.2682E-01
